modelo,accuracy,precision_macro,recall_macro,f1_macro
RandomForest,0.9695833333333334,0.9099895239300605,0.9308903725161226,0.9197297803213401
LogisticRegression,0.9466666666666667,0.8543044407424235,0.941014979476518,0.8812411403370609
SVM_RBF,0.9479166666666666,0.8553440984236832,0.9322991630683939,0.8809910134009801
KNN,0.9316666666666666,0.8100290700095961,0.7643264566341489,0.7800195282345519
