model,accuracy,precision_macro,recall_macro,f1_macro
random_forest,0.97,0.9137154260417937,0.9280689267050425,0.9205676737036245
logistic_regression,0.9483333333333334,0.857476399616336,0.945652753345061,0.8849523547015278
